County,Population
Alcona,"10,405"
Alger,"9,108"
Allegan,"118,081"
Alpena,"28,405"
Antrim,"23,324"
Arenac,"14,883"
Baraga,"8,209"
Barry,"61,550"
Bay,"103,126"
Benzie,"17,766"
Berrien,"153,401"
Branch,"43,517"
Calhoun,"134,159"
Cass,"51,787"
Charlevoix,"26,143"
Cheboygan,"25,276"
Chippewa,"37,349"
Clare,"30,950"
Clinton,"79,595"
Crawford,"14,029"
Delta,"35,784"
Dickinson,"25,239"
Eaton,"110,268"
Emmet,"33,415"
Genesee,"405,813"
Gladwin,"25,449"
Gogebic,"13,975"
Grand Traverse,"93,088"
Gratiot,"40,711"
Hillsdale,"45,605"
Houghton,"35,684"
Huron,"30,981"
Ingham,"292,406"
Ionia,"64,697"
Iosco,"25,127"
Iron,"11,066"
Isabella,"69,872"
Jackson,"158,510"
Kalamazoo,"265,066"
Kalkaska,"18,038"
Kent,"656,955"
Keweenaw,"2,116"
Lake,"11,853"
Lapeer,"87,607"
Leelanau,"21,761"
Lenawee,"98,451"
Livingston,"191,995"
Luce,"6,229"
Mackinac,"10,799"
Macomb,"873,972"
Manistee,"24,558"
Marquette,"66,699"
Mason,"29,144"
Mecosta,"43,453"
Menominee,"22,780"
Midland,"83,156"
Missaukee,"15,118"
Monroe,"150,500"
Montcalm,"63,888"
Montmorency,"9,328"
Muskegon,"173,566"
Newaygo,"48,980"
Oakland,"1,257,584"
Oceana,"26,467"
Ogemaw,"20,997"
Ontonagon,"5,720"
Osceola,"23,460"
Oscoda,"8,241"
Otsego,"24,668"
Ottawa,"291,830"
Presque Isle,"12,592"
Roscommon,"24,019"
Saginaw,"190,539"
St. Clair,"159,128"
St. Joseph,"60,964"
Sanilac,"41,170"
Schoolcraft,"8,094"
Shiawassee,"68,122"
Tuscola,"52,245"
Van Buren,"75,677"
Washtenaw,"367,601"
Wayne,"1,749,343"
Wexford,"33,631"
Adams,"27,698"
Allen,"102,351"
Ashland,"53,484"
Ashtabula,"97,241"
Athens,"65,327"
Auglaize,"45,656"
Belmont,"67,006"
Brown,"43,432"
Butler,"383,134"
Carroll,"26,914"
Champaign,"38,885"
Clark,"134,083"
Clermont,"206,428"
Clinton,"41,968"
Columbiana,"101,883"
Coshocton,"36,600"
Crawford,"41,494"
Cuyahoga,"1,235,072"
Darke,"51,113"
Defiance,"38,087"
Delaware,"209,177"
Erie,"74,266"
Fairfield,"157,574"
Fayette,"28,525"
Franklin,"1,316,756"
Fulton,"42,126"
Gallia,"29,898"
Geauga,"93,649"
Greene,"168,937"
Guernsey,"38,875"
Hamilton,"817,473"
Hancock,"75,783"
Hardin,"31,365"
Harrison,"15,040"
Henry,"27,006"
Highland,"43,161"
Hocking,"28,264"
Holmes,"43,960"
Huron,"58,266"
Jackson,"32,413"
Jefferson,"65,325"
Knox,"62,322"
Lake,"230,149"
Lawrence,"59,463"
Licking,"176,862"
Logan,"45,672"
Lorain,"309,833"
Lucas,"428,348"
Madison,"44,731"
Mahoning,"228,683"
Marion,"65,093"
Medina,"179,746"
Meigs,"22,907"
Mercer,"41,172"
Miami,"106,987"
Monroe,"13,654"
Montgomery,"531,687"
Morgan,"14,508"
Morrow,"35,328"
Muskingum,"86,215"
Noble,"14,424"
Ottawa,"40,525"
Paulding,"18,672"
Perry,"36,134"
Pickaway,"58,457"
Pike,"27,772"
Portage,"162,466"
Preble,"40,882"
Putnam,"33,861"
Richland,"121,154"
Ross,"76,666"
Sandusky,"58,518"
Scioto,"75,314"
Seneca,"55,178"
Shelby,"48,590"
Stark,"370,606"
Summit,"541,013"
Trumbull,"197,974"
Tuscarawas,"91,987"
Union,"58,988"
Van,"28,275"
Vinton,"13,085"
Warren,"234,602"
Washington,"59,911"
Wayne,"115,710"
Williams,"36,692"
Wood,"130,817"
Wyandot,"21,772"
