date	county	state	fips	cases	deaths
4/4/2020	Adams	Ohio	39001	1	0
4/5/2020	Adams	Ohio	39001	2	0
4/6/2020	Adams	Ohio	39001	2	0
4/7/2020	Adams	Ohio	39001	2	0
4/8/2020	Adams	Ohio	39001	2	0
4/9/2020	Adams	Ohio	39001	3	0
4/10/2020	Adams	Ohio	39001	3	0
4/11/2020	Adams	Ohio	39001	3	0
4/12/2020	Adams	Ohio	39001	3	0
4/13/2020	Adams	Ohio	39001	3	0
4/14/2020	Adams	Ohio	39001	3	0
4/15/2020	Adams	Ohio	39001	3	0
4/16/2020	Adams	Ohio	39001	3	0
4/17/2020	Adams	Ohio	39001	3	0
4/18/2020	Adams	Ohio	39001	3	0
4/19/2020	Adams	Ohio	39001	3	0
4/20/2020	Adams	Ohio	39001	3	0
4/21/2020	Adams	Ohio	39001	3	0
4/22/2020	Adams	Ohio	39001	4	0
4/23/2020	Adams	Ohio	39001	4	0
4/24/2020	Adams	Ohio	39001	4	0
4/25/2020	Adams	Ohio	39001	4	0
4/26/2020	Adams	Ohio	39001	4	0
4/27/2020	Adams	Ohio	39001	4	0
4/28/2020	Adams	Ohio	39001	4	0
4/29/2020	Adams	Ohio	39001	5	0
4/30/2020	Adams	Ohio	39001	4	0
5/1/2020	Adams	Ohio	39001	5	0
5/2/2020	Adams	Ohio	39001	5	0
5/3/2020	Adams	Ohio	39001	5	0
5/4/2020	Adams	Ohio	39001	5	0
5/5/2020	Adams	Ohio	39001	5	0
5/6/2020	Adams	Ohio	39001	5	0
5/7/2020	Adams	Ohio	39001	5	0
5/8/2020	Adams	Ohio	39001	5	0
5/9/2020	Adams	Ohio	39001	6	0
5/10/2020	Adams	Ohio	39001	6	0
5/11/2020	Adams	Ohio	39001	6	0
5/12/2020	Adams	Ohio	39001	6	0
5/13/2020	Adams	Ohio	39001	6	0
5/14/2020	Adams	Ohio	39001	7	0
5/15/2020	Adams	Ohio	39001	8	0
5/16/2020	Adams	Ohio	39001	8	0
5/17/2020	Adams	Ohio	39001	8	0
5/18/2020	Adams	Ohio	39001	8	1
5/19/2020	Adams	Ohio	39001	8	1
5/20/2020	Adams	Ohio	39001	8	1
5/21/2020	Adams	Ohio	39001	8	1
5/22/2020	Adams	Ohio	39001	8	1
5/23/2020	Adams	Ohio	39001	8	1
5/24/2020	Adams	Ohio	39001	8	1
5/25/2020	Adams	Ohio	39001	8	1
5/26/2020	Adams	Ohio	39001	8	1
5/27/2020	Adams	Ohio	39001	8	1
5/28/2020	Adams	Ohio	39001	8	1
5/29/2020	Adams	Ohio	39001	9	1
5/30/2020	Adams	Ohio	39001	9	1
5/31/2020	Adams	Ohio	39001	10	1
6/1/2020	Adams	Ohio	39001	10	1
6/2/2020	Adams	Ohio	39001	10	1
6/3/2020	Adams	Ohio	39001	10	1
6/4/2020	Adams	Ohio	39001	11	1
6/5/2020	Adams	Ohio	39001	11	1
6/6/2020	Adams	Ohio	39001	11	1
6/7/2020	Adams	Ohio	39001	11	1
6/8/2020	Adams	Ohio	39001	11	1
6/9/2020	Adams	Ohio	39001	11	1
6/10/2020	Adams	Ohio	39001	12	1
6/11/2020	Adams	Ohio	39001	12	1
6/12/2020	Adams	Ohio	39001	12	1
6/13/2020	Adams	Ohio	39001	14	1
6/14/2020	Adams	Ohio	39001	15	1
6/15/2020	Adams	Ohio	39001	15	1
6/16/2020	Adams	Ohio	39001	17	1
6/17/2020	Adams	Ohio	39001	17	1
6/18/2020	Adams	Ohio	39001	18	1
6/19/2020	Adams	Ohio	39001	18	1
6/20/2020	Adams	Ohio	39001	18	1
6/21/2020	Adams	Ohio	39001	18	1
6/22/2020	Adams	Ohio	39001	19	1
6/23/2020	Adams	Ohio	39001	19	1
6/24/2020	Adams	Ohio	39001	19	1
6/25/2020	Adams	Ohio	39001	20	1
6/26/2020	Adams	Ohio	39001	20	1
6/27/2020	Adams	Ohio	39001	20	1
6/28/2020	Adams	Ohio	39001	20	1
6/29/2020	Adams	Ohio	39001	21	1
6/30/2020	Adams	Ohio	39001	21	1
7/1/2020	Adams	Ohio	39001	21	1
7/2/2020	Adams	Ohio	39001	21	1
7/3/2020	Adams	Ohio	39001	22	1
7/4/2020	Adams	Ohio	39001	23	1
7/5/2020	Adams	Ohio	39001	22	1
7/6/2020	Adams	Ohio	39001	24	1
7/7/2020	Adams	Ohio	39001	24	1
7/8/2020	Adams	Ohio	39001	24	1
4/15/2020	Alcona	Michigan	26001	1	0
4/16/2020	Alcona	Michigan	26001	1	0
4/17/2020	Alcona	Michigan	26001	1	0
4/18/2020	Alcona	Michigan	26001	1	0
4/19/2020	Alcona	Michigan	26001	1	0
4/20/2020	Alcona	Michigan	26001	1	0
4/21/2020	Alcona	Michigan	26001	3	0
4/22/2020	Alcona	Michigan	26001	4	0
4/23/2020	Alcona	Michigan	26001	4	0
4/24/2020	Alcona	Michigan	26001	4	0
4/25/2020	Alcona	Michigan	26001	4	0
4/26/2020	Alcona	Michigan	26001	4	0
4/27/2020	Alcona	Michigan	26001	4	0
4/28/2020	Alcona	Michigan	26001	4	0
4/29/2020	Alcona	Michigan	26001	4	0
4/30/2020	Alcona	Michigan	26001	4	1
5/1/2020	Alcona	Michigan	26001	4	1
5/2/2020	Alcona	Michigan	26001	5	1
5/3/2020	Alcona	Michigan	26001	4	1
5/4/2020	Alcona	Michigan	26001	4	1
5/5/2020	Alcona	Michigan	26001	4	1
5/6/2020	Alcona	Michigan	26001	4	1
5/7/2020	Alcona	Michigan	26001	4	1
5/8/2020	Alcona	Michigan	26001	4	1
5/9/2020	Alcona	Michigan	26001	4	1
5/10/2020	Alcona	Michigan	26001	4	1
5/11/2020	Alcona	Michigan	26001	4	1
5/12/2020	Alcona	Michigan	26001	4	1
5/13/2020	Alcona	Michigan	26001	4	1
5/14/2020	Alcona	Michigan	26001	5	1
5/15/2020	Alcona	Michigan	26001	6	1
5/16/2020	Alcona	Michigan	26001	6	1
5/17/2020	Alcona	Michigan	26001	6	1
5/18/2020	Alcona	Michigan	26001	6	1
5/19/2020	Alcona	Michigan	26001	6	1
5/20/2020	Alcona	Michigan	26001	8	1
5/21/2020	Alcona	Michigan	26001	9	1
5/22/2020	Alcona	Michigan	26001	9	1
5/23/2020	Alcona	Michigan	26001	10	1
5/24/2020	Alcona	Michigan	26001	11	1
5/25/2020	Alcona	Michigan	26001	11	1
5/26/2020	Alcona	Michigan	26001	11	1
5/27/2020	Alcona	Michigan	26001	12	1
5/28/2020	Alcona	Michigan	26001	14	1
5/29/2020	Alcona	Michigan	26001	14	1
5/30/2020	Alcona	Michigan	26001	14	1
5/31/2020	Alcona	Michigan	26001	15	1
6/1/2020	Alcona	Michigan	26001	21	1
6/2/2020	Alcona	Michigan	26001	21	1
6/3/2020	Alcona	Michigan	26001	20	1
6/4/2020	Alcona	Michigan	26001	21	1
6/5/2020	Alcona	Michigan	26001	21	1
6/6/2020	Alcona	Michigan	26001	21	1
6/7/2020	Alcona	Michigan	26001	21	1
6/8/2020	Alcona	Michigan	26001	21	1
6/9/2020	Alcona	Michigan	26001	21	1
6/10/2020	Alcona	Michigan	26001	21	1
6/11/2020	Alcona	Michigan	26001	21	1
6/12/2020	Alcona	Michigan	26001	21	1
6/13/2020	Alcona	Michigan	26001	21	1
6/14/2020	Alcona	Michigan	26001	21	1
6/15/2020	Alcona	Michigan	26001	21	1
6/16/2020	Alcona	Michigan	26001	21	1
6/17/2020	Alcona	Michigan	26001	21	1
6/18/2020	Alcona	Michigan	26001	21	1
6/19/2020	Alcona	Michigan	26001	21	1
6/20/2020	Alcona	Michigan	26001	21	1
6/21/2020	Alcona	Michigan	26001	21	1
6/22/2020	Alcona	Michigan	26001	21	1
6/23/2020	Alcona	Michigan	26001	21	1
6/24/2020	Alcona	Michigan	26001	21	1
6/25/2020	Alcona	Michigan	26001	21	1
6/26/2020	Alcona	Michigan	26001	21	1
6/27/2020	Alcona	Michigan	26001	21	1
