date	cases	deaths	country
1/21/2020	1	0	United States
1/22/2020	1	0	United States
1/23/2020	1	0	United States
1/24/2020	2	0	United States
1/25/2020	3	0	United States
1/26/2020	5	0	United States
1/27/2020	5	0	United States
1/28/2020	5	0	United States
1/29/2020	5	0	United States
1/30/2020	6	0	United States
1/31/2020	7	0	United States
2/1/2020	8	0	United States
2/2/2020	11	0	United States
2/3/2020	11	0	United States
2/4/2020	11	0	United States
2/5/2020	12	0	United States
2/6/2020	12	0	United States
2/7/2020	12	0	United States
2/8/2020	12	0	United States
2/9/2020	12	0	United States
2/10/2020	13	0	United States
2/11/2020	13	0	United States
2/12/2020	14	0	United States
2/13/2020	15	0	United States
2/14/2020	15	0	United States
2/15/2020	15	0	United States
2/16/2020	15	0	United States
2/17/2020	25	0	United States
2/18/2020	25	0	United States
2/19/2020	25	0	United States
2/20/2020	27	0	United States
2/21/2020	30	0	United States
2/22/2020	30	0	United States
2/23/2020	30	0	United States
2/24/2020	43	0	United States
2/25/2020	45	0	United States
2/26/2020	60	0	United States
2/27/2020	60	0	United States
2/28/2020	65	0	United States
2/29/2020	70	1	United States
3/1/2020	88	3	United States
3/2/2020	104	6	United States
3/3/2020	125	10	United States
3/4/2020	161	12	United States
3/5/2020	228	12	United States
3/6/2020	311	15	United States
3/7/2020	428	19	United States
3/8/2020	547	22	United States
3/9/2020	748	26	United States
3/10/2020	1018	31	United States
3/11/2020	1263	37	United States
3/12/2020	1668	43	United States
3/13/2020	2224	50	United States
3/14/2020	2898	60	United States
3/15/2020	3600	68	United States
3/16/2020	4507	91	United States
3/17/2020	5906	117	United States
3/18/2020	8350	162	United States
3/19/2020	12393	212	United States
3/20/2020	18012	277	United States
3/21/2020	24528	360	United States
3/22/2020	33073	458	United States
3/23/2020	43505	579	United States
3/24/2020	53938	785	United States
3/25/2020	68572	1054	United States
3/26/2020	85570	1353	United States
3/27/2020	102900	1770	United States
3/28/2020	123966	2300	United States
3/29/2020	142486	2718	United States
3/30/2020	163955	3368	United States
3/31/2020	188461	4304	United States
4/1/2020	215391	5325	United States
4/2/2020	245108	6541	United States
4/3/2020	277426	7932	United States
4/4/2020	312525	9488	United States
4/5/2020	338141	10856	United States
4/6/2020	369056	12382	United States
4/7/2020	399394	14616	United States
4/8/2020	431213	16701	United States
4/9/2020	465909	18821	United States
4/10/2020	499381	21084	United States
4/11/2020	531106	23168	United States
4/12/2020	558249	24849	United States
4/13/2020	584018	26613	United States
4/14/2020	610709	29318	United States
4/15/2020	640742	32070	United States
4/16/2020	672355	34418	United States
4/17/2020	703862	36707	United States
4/18/2020	732262	38659	United States
4/19/2020	757596	40179	United States
4/20/2020	784926	42016	United States
4/21/2020	810434	44688	United States
4/22/2020	839266	47059	United States
4/23/2020	873039	49228	United States
4/24/2020	909777	51360	United States
4/25/2020	944184	53326	United States
4/26/2020	970919	54580	United States
4/27/2020	994110	56022	United States
4/28/2020	1018741	58416	United States
4/29/2020	1045298	60930	United States
4/30/2020	1075637	63140	United States
5/1/2020	1109601	64902	United States
5/2/2020	1139075	66485	United States
5/3/2020	1165215	67816	United States
5/4/2020	1187176	68905	United States
5/5/2020	1210881	71139	United States
5/6/2020	1235366	73847	United States
5/7/2020	1263839	75805	United States
5/8/2020	1291482	77380	United States
5/9/2020	1316351	78834	United States
5/10/2020	1336668	79765	United States
5/11/2020	1354286	80747	United States
5/12/2020	1376585	82400	United States
5/13/2020	1397726	84168	United States
5/14/2020	1424687	85906	United States
5/15/2020	1450910	87499	United States
5/16/2020	1474569	88724	United States
5/17/2020	1493583	89568	United States
5/18/2020	1515403	90414	United States
5/19/2020	1536371	91934	United States
5/20/2020	1559435	93411	United States
5/21/2020	1585168	94722	United States
5/22/2020	1608961	96010	United States
5/23/2020	1631229	97060	United States
5/24/2020	1651260	97680	United States
5/25/2020	1670360	98190	United States
5/26/2020	1689248	98937	United States
5/27/2020	1707987	100422	United States
5/28/2020	1730457	101622	United States
5/29/2020	1755003	102812	United States
5/30/2020	1778401	103775	United States
5/31/2020	1799035	104379	United States
6/1/2020	1820929	105113	United States
6/2/2020	1841713	106195	United States
6/3/2020	1861694	107184	United States
6/4/2020	1883308	108192	United States
6/5/2020	1912001	109304	United States
6/6/2020	1934522	110032	United States
6/7/2020	1953138	110422	United States
6/8/2020	1971337	111144	United States
6/9/2020	1990137	112174	United States
6/10/2020	2013296	113103	United States
6/11/2020	2036496	113980	United States
6/12/2020	2061992	114758	United States
6/13/2020	2087327	115451	United States
6/14/2020	2106456	115768	United States
6/15/2020	2126570	116216	United States
6/16/2020	2151452	116985	United States
6/17/2020	2177104	117746	United States
6/18/2020	2205155	118473	United States
6/19/2020	2235995	119171	United States
6/20/2020	2268019	119717	United States
6/21/2020	2294413	119974	United States
6/22/2020	2324854	120334	United States
6/23/2020	2359899	121167	United States
6/24/2020	2396913	121934	United States
6/25/2020	2438069	124400	United States
6/26/2020	2483560	125033	United States
6/27/2020	2525920	125544	United States
6/28/2020	2565007	125814	United States
6/29/2020	2604906	126161	United States
6/30/2020	2653278	127461	United States
7/1/2020	2703212	128103	United States
7/2/2020	2758807	128826	United States
7/3/2020	2815374	129415	United States
7/4/2020	2866013	129679	United States
7/5/2020	2910780	129941	United States
7/6/2020	2958080	130332	United States
7/7/2020	3012210	131289	United States
7/8/2020	3071663	132237	United States
